LINEA,T_internal,T_Mtto,T_Aseos,T_CO&SUP,T_External,NST_Demanda,NST_Material,NST_Engeneering,NST_Other,N_SKU,EPT,Regional,País,Automatic,GLY,LEF,OEE,META_GLY,META_LEF,META_ST,ST,TT,NST TOTAL
PC05_TOR3,12.62361111,3.608333333,2.575,9.666666667,1.666666667,672,#N/D,#N/D,9.666666667,2,38.32666667,R-MEX_NTE,MX_NTE,Habilitado,61%,75%,5%,68.1818,81.0811,88,62.33333333,744,681.6666667
PC05_TOR4,25.26,23,31.75055556,3.95,14.24388889,#N/D,#N/D,6.066666667,3.95,8,623.3130556,R-MEX_NTE,MX_NTE,Habilitado,85%,96%,84%,83.0303,93.5154,660,733.9833333,744,10.01666667
PC05_TORBA,0.131666667,#N/D,#N/D,#N/D,0,740.5,#N/D,#N/D,#N/D,1,2.868333333,R-MEX_NTE,MX_NTE,Habilitado,82%,96%,0%,87.6712,98.4615,73,3.5,744,740.5
PC08_ZAC04,20.00055556,19.98694444,15.70777778,288.9586111,11.62,40,#N/D,#N/D,288.9586111,3,339.6305556,R-MEX_NTE,MX_NTE,Habilitado,82%,94%,46%,85.621,94.3575,575.317,415.0413889,744,328.9586111
PC08_ZAC13,16.77027778,21.18694444,14.56722222,30.64472222,0.909166667,124.9125,#N/D,6.037777778,30.64472222,7,517.9891667,R-MEX_NTE,MX_NTE,Habilitado,89%,97%,70%,83.6555,93.1206,458.519,582.405,744,161.595
PC08_ZAC14,11.12888889,11.84194444,8.286388889,8.719444444,4.620277778,422.6072222,#N/D,#N/D,8.719444444,15,268.0105556,R-MEX_NTE,MX_NTE,Habilitado,86%,96%,36%,63.3146,94.4941,735.569,312.6733333,744,431.3266667
PC08_ZAC05,41.01194444,29.95722222,27.95611111,50.72194444,21.60583333,8,#N/D,#N/D,50.72194444,9,536.4236111,R-MEX_NTE,MX_NTE,Habilitado,78%,93%,72%,79.4203,92.3117,576.436,685.2780556,744,58.72194444
PC08_ZAC06,20.36194444,15.35111111,12.11555556,34.28138889,6.2025,288.5733333,#N/D,#N/D,34.28138889,5,356.3711111,R-MEX_NTE,MX_NTE,Habilitado,85%,95%,48%,75.0636,89.9696,242.527,421.1452778,744,322.8547222
PC08_ZAC07,26.70027778,27.38416667,18.09388889,6.974166667,20.57944444,240.7763889,#N/D,#N/D,6.974166667,2,395.7597222,R-MEX_NTE,MX_NTE,Habilitado,80%,94%,53%,86.2454,93.9357,590.486,496.2494444,744,247.7505556
PC08_ZAC08,24.56666667,19.42833333,10.72722222,0.3325,2.688333333,437.6383333,7.591944444,#N/D,0.3325,24,225.3158333,R-MEX_NTE,MX_NTE,Habilitado,75%,90%,30%,80.6175,92.4067,487.079,298.4372222,744,445.5627778
PC08_ZAC09,22.27333333,31.3625,27.59138889,#N/D,23.145,28.30861111,#N/D,0.679444444,#N/D,4,589.445,R-MEX_NTE,MX_NTE,Habilitado,82%,96%,79%,84.1155,96.9385,622.778,715.0119444,744,28.98805556
PC08_ZAC10,20.555,19.49388889,16.76916667,#N/D,5.166666667,388.5805556,#N/D,2.238611111,#N/D,1,284.3269444,R-MEX_NTE,MX_NTE,Habilitado,81%,93%,38%,87.495,96.6376,646.439,353.1808333,744,390.8191667
PC08_ZAC11,21.82916667,25.68444444,18.77277778,1,5.805555556,248.2755556,#N/D,32.14166667,1,18,367.7647222,R-MEX_NTE,MX_NTE,Habilitado,80%,94%,49%,89.8085,95.6565,585.19,462.5827778,744,281.4172222
PC08_ZAC12,12.51194444,9.055555556,9.610833333,19.04666667,8.254722222,425.4191667,#N/D,#N/D,19.04666667,11,246.59,R-MEX_NTE,MX_NTE,Habilitado,82%,95%,33%,84.6718,94.3726,483.325,299.5341667,744,444.4658333
PC08_ZAC01,35.7925,32.71583333,12.75583333,5.255833333,37.67277778,28,10.38916667,6.200833333,5.255833333,9,555.8986111,R-MEX_NTE,MX_NTE,Habilitado,80%,94%,75%,76.9308,93.3726,467.89,694.1541667,744,49.84583333
PC08_ZAC02,27.84111111,24.31638889,7.671388889,43.08416667,28.79805556,38.93916667,20.89916667,152.9327778,43.08416667,21,389.3886111,R-MEX_NTE,MX_NTE,Habilitado,80%,93%,52%,80.7214,92.796,344.276,488.1447222,744,255.8552778
PC08_ZAC03,13.1225,24.10722222,9.867222222,0.872222222,20.59305556,16.58305556,#N/D,7.340277778,0.872222222,15,619.8016667,R-MEX_NTE,MX_NTE,Habilitado,86%,98%,83%,90.6683,96.9286,543.464,719.2044444,744,24.79555556
PC01_MEX06,66.71805556,29.61777778,33.03444444,32,21.94166667,92,#N/D,#N/D,32,7,441.8344444,R-MEX_SUR,MX_SUR,Habilitado,71%,87%,59%,71.521,84.3511,618,620,744,124
PC01_MEX19,62.46833333,13.30027778,25.09527778,#N/D,13.13194444,206,#N/D,#N/D,#N/D,4,397.7961111,R-MEX_SUR,MX_SUR,Habilitado,74%,86%,53%,72.8261,87.965,552,538,744,206
PC01_MEX07,52.00166667,11.20666667,21.77194444,103,15.33777778,97.5,#N/D,#N/D,103,2,419.3822222,R-MEX_SUR,MX_SUR,Habilitado,77%,89%,56%,71.8153,83.829,628,543.5,744,200.5
PC01_MEX10,0,#N/D,#N/D,#N/D,0,744,#N/D,#N/D,#N/D,#N/D,0,R-MEX_SUR,MX_SUR,Deshabilitado,#¡DIV/0!,#¡DIV/0!,0%,0,0,0,0,744,744
PC01_MEX13,47.27666667,25.30388889,39.17194444,#N/D,22.0275,50,#N/D,#N/D,#N/D,10,525.6002778,R-MEX_SUR,MX_SUR,Habilitado,76%,92%,71%,75.6,88.7324,500,694,744,50
PC01_MEX14,33.05194444,6.173611111,14.45083333,72,16.63777778,294,8,#N/D,72,1,287.8325,R-MEX_SUR,MX_SUR,Habilitado,78%,90%,39%,72.1393,83.815,402,370,744,374
PC01_MEX15,68.24388889,18.42166667,31.57583333,#N/D,15.20583333,133.9447222,3,25,#N/D,3,429.6958333,R-MEX_SUR,MX_SUR,Habilitado,74%,86%,58%,70.8758,81.6901,491,582.0552778,744,161.9447222
PC01_MEX16,45.06861111,27.56777778,34.33416667,#N/D,6.784722222,240,#N/D,#N/D,#N/D,2,368.2230556,R-MEX_SUR,MX_SUR,Habilitado,73%,89%,49%,73.253,90.2077,415,504,744,240
PC01_MEX17,43.08805556,8.065555556,20.47805556,#N/D,7.125,414.3333333,#N/D,#N/D,#N/D,1,235.7305556,R-MEX_SUR,MX_SUR,Habilitado,72%,85%,32%,70.1357,85.1648,442,329.6666667,744,414.3333333
PC01_MEX18,59.44833333,29.32944444,45.41527778,#N/D,3.9925,64.96583333,#N/D,106.8330556,#N/D,12,395.3813889,R-MEX_SUR,MX_SUR,Habilitado,69%,87%,53%,75.7732,95.1456,388,572.2011111,744,171.7988889
PC01_MEXBA,0.634166667,#N/D,0.7675,#N/D,0,543.85,24,#N/D,#N/D,3,174.7483333,R-MEX_SUR,MX_SUR,Deshabilitado,99%,100%,23%,98.1061,98.855,264,176.15,744,567.85
PC03_TUX02,68.67972222,13.50416667,17.67527778,9.277777778,2.146944444,392.1122222,#N/D,#N/D,9.277777778,11,223.54,R-MEX_SUR,MX_SUR,Habilitado,65%,76%,30%,63.8134,77.7739,561.862,342.61,744,401.39
PC03_TUX04,148.7930556,27.28055556,34.44694444,9.134722222,12.61666667,216.1508333,#N/D,#N/D,9.134722222,1,292.3691667,R-MEX_SUR,MX_SUR,Habilitado,56%,66%,39%,61.9052,75.6033,510.579,518.7144444,744,225.2855556
PC03_TUX05,85.14472222,13.3875,17.29027778,48.83333333,3.666111111,401.4127778,#N/D,#N/D,48.83333333,7,164.6141667,R-MEX_SUR,MX_SUR,Habilitado,56%,66%,22%,64.3196,77.293,510.579,293.7538889,744,450.2461111
PC03_TUX06,21.91166667,25.91194444,19.75083333,13.28138889,5.276666667,177.8372222,#N/D,#N/D,13.28138889,17,458.9180556,R-MEX_SUR,MX_SUR,Habilitado,83%,95%,62%,78.5516,87.1199,545.862,552.8813889,744,191.1186111
PC03_TUX08,161.4611111,28.59194444,33.84916667,15.40277778,21.61583333,195.2788889,#N/D,#N/D,15.40277778,2,245.1191667,R-MEX_SUR,MX_SUR,Habilitado,46%,60%,33%,59.8244,70.8957,538.127,533.3183333,744,210.6816667
PC03_TUX10,18.52027778,8.2675,12.94694444,2.3925,0.167222222,507.3408333,#N/D,#N/D,2.3925,2,188.6444444,R-MEX_SUR,MX_SUR,Habilitado,81%,91%,25%,59.183,88.6076,460.699,234.2666667,744,509.7333333
PC03_TUX11,162.4711111,43.83694444,54.61444444,10.86138889,29.17805556,28.52833333,3.504166667,#N/D,10.86138889,3,390.1958333,R-MEX_SUR,MX_SUR,Habilitado,56%,71%,52%,62.3598,75.8889,513.579,701.1061111,744,42.89388889
PC03_TUX12,59.62416667,11.78916667,14.35416667,89.61388889,9.591111111,357.0738889,#N/D,#N/D,89.61388889,7,195.9847222,R-MEX_SUR,MX_SUR,Habilitado,66%,77%,26%,61.138,74.7621,494.242,297.3122222,744,446.6877778
PC03_TUX07,176.0833333,59.25,25.84416667,17.23027778,17.41111111,121.0902778,#N/D,#N/D,17.23027778,2,319.3908333,R-MEX_SUR,MX_SUR,Habilitado,53%,64%,43%,61.6894,75.62,539.127,605.6794444,744,138.3205556
PC03_TUX03,169.4425,14.76,34.61194444,3.426666667,12.10777778,#N/D,#N/D,10.67083333,3.426666667,8,476.3025,R-MEX_SUR,MX_SUR,Habilitado,65%,74%,64%,73.0165,80.5471,552.862,729.9025,744,14.0975
PC03_TUX09,122.2711111,16.45555556,21.67277778,11.86361111,5.823333333,8.417777778,#N/D,4.213888889,11.86361111,15,526.2988889,R-MEX_SUR,MX_SUR,Habilitado,73%,81%,71%,75.2461,84.41,540.127,719.5047222,744,24.49527778
PC03_TUXBA,11.07611111,1,2.022222222,0.791388889,0,524.9313889,#N/D,#N/D,0.791388889,5,202.9763889,R-MEX_SUR,MX_SUR,Habilitado,93%,95%,27%,95.9191,96.5802,248.197,218.2772222,744,525.7227778
PC19_YUC2,6.881666667,5.733888889,8.966111111,121.9327778,2.403055556,496.4208333,4.166666667,#N/D,121.9327778,8,94.3025,R-MEX_SUR,MX_SUR,Habilitado,78%,93%,13%,81.093,95.1285,165.159,121.4797222,744,622.5202778
PC19_YUC3,13.18666667,6.570833333,7.545833333,158.1277778,9.505833333,432.6772222,#N/D,#N/D,158.1277778,6,113.6641667,R-MEX_SUR,MX_SUR,Habilitado,74%,90%,15%,77.9631,93.5096,369.597,153.195,744,590.805
PC19_YUC4,0,#N/D,#N/D,#N/D,0,744,#N/D,#N/D,#N/D,#N/D,0,R-MEX_SUR,MX_SUR,Deshabilitado,#¡DIV/0!,#¡DIV/0!,0%,0,0,0,0,744,744
PC19_YUC5,9.038055556,13.32083333,14.12111111,133.4188889,3.681666667,322.7163889,0.316666667,#N/D,133.4188889,11,242.4463889,R-MEX_SUR,MX_SUR,Habilitado,84%,96%,33%,81.6199,94.8902,469.144,287.5480556,744,456.4519444
PC19_YUC1,24.58277778,25.025,29.23083333,20.075,10.80361111,48.48888889,#N/D,52.37194444,20.075,10,531.2047222,R-MEX_SUR,MX_SUR,Habilitado,85%,96%,71%,83.1877,93.5299,378.062,623.0641667,744,120.9358333
PC29_CEN5,38.90527778,32.32944444,21.41805556,47.6,22.86277778,180.3936111,#N/D,36.8125,47.6,3,359.6925,R-MEX_SUR,MX_SUR,Habilitado,75%,90%,48%,73.9983,87.8543,469.2,479.1938889,744,264.8061111
PC29_CEN6,13.56638889,11.88777778,3.5425,#N/D,8.136111111,266.7202778,8,300.625,#N/D,6,125.1661111,R-MEX_SUR,MX_SUR,Habilitado,74%,90%,17%,70.1215,87.7466,398.28,168.6547222,744,575.3452778
PC29_CEN3,38.43305556,55.26861111,25.02166667,36.58166667,51.75,40.60777778,11.25555556,74.27,36.58166667,11,393.1944444,R-MEX_SUR,MX_SUR,Habilitado,68%,91%,53%,71.8426,85.5555,461.69,581.285,744,162.715
PC29_CEN4,52.97583333,16.92027778,24.12416667,1.822777778,16.25666667,18.31916667,#N/D,44.66333333,1.822777778,5,557.1713889,R-MEX_SUR,MX_SUR,Habilitado,82%,91%,75%,79.5895,90.6633,622.23,679.1947222,744,64.80527778
BE01_LINEA 1,12.90305556,4.116666667,10.91916667,1.666666667,43.815,370.5333333,#N/D,7.803611111,1.666666667,5,268.0308333,R-PEC,ECU,Habilitado,74%,95%,36%,76.12,96.66,246.788,363.9963889,744,380.0036111
BE01_LINEA 2,4.185833333,44,7.582222222,#N/D,8.008055556,260.3105556,#N/D,2.693888889,#N/D,6,394.3786111,R-PEC,ECU,Habilitado,82%,99%,53%,77.2,96.76,340.402,480.9955556,744,263.0044444
BE01_LINEA 3,0,#N/D,9.64,#N/D,0.483611111,663.9283333,#N/D,#N/D,#N/D,7,60.39722222,R-PEC,ECU,Habilitado,75%,100%,8%,70.5,97.05,54.2124,80.07166667,744,663.9283333
BE01_LINEA 5,1.062222222,6.143055556,79.98388889,3.166666667,11.71416667,36,#N/D,#N/D,3.166666667,12,595.6319444,R-PEC,ECU,Habilitado,85%,100%,80%,85.8,98.14,412.297,704.8333333,744,39.16666667
BE01_LINEA KEG,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,R-PEC,#N/D,Deshabilitado,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
BE01_LINEA PET,7.799166667,6,61.54055556,#N/D,0.903333333,416,#N/D,1.966666667,#N/D,10,220.9197222,R-PEC,ECU,Habilitado,68%,97%,30%,64,96.13,243.408,326.0333333,744,417.9666667
BE02_LINEA 1,10.58027778,5.186388889,42.52472222,4.006666667,17.26111111,419.6902778,#N/D,#N/D,4.006666667,5,228.6505556,R-PEC,ECU,Habilitado,71%,96%,31%,71.2414,96.3583,222.511,320.3030556,744,423.6969444
BE02_LINEA 2,10.56777778,21.27444444,76.26027778,8.693888889,13.18166667,88,#N/D,#N/D,8.693888889,4,504.9233333,R-PEC,ECU,Habilitado,78%,98%,68%,78.9497,97.3106,687.47,647.3061111,744,96.69388889
BE02_LINEA 4,0,#N/D,2.333333333,#N/D,0,730.1333333,#N/D,#N/D,#N/D,1,11.53333333,R-PEC,ECU,Habilitado,83%,100%,2%,83.3337,100,8,13.86666667,744,730.1333333
BE02_LINEA 3,0.533333333,#N/D,2,#N/D,0.066666667,712,#N/D,#N/D,#N/D,1,27.73333333,R-PEC,ECU,Habilitado,87%,98%,4%,87.6991,98.7654,63.8547,32,744,712
BE02_LINEA 5,0,#N/D,#N/D,#N/D,0,744,#N/D,#N/D,#N/D,#N/D,0,R-PEC,ECU,Habilitado,#¡DIV/0!,#¡DIV/0!,0%,0,0,0,0,744,744
BK01_LINEA 01,15.05638889,26.04611111,17.11083333,224.3508333,33.62111111,25.75166667,#N/D,2.5975,224.3508333,3,385.9330556,R-PEC,PER,Habilitado,79%,96%,52%,76.9165,95.4787,616.24,491.3,744,252.7
BK01_LINEA 02,10.76972222,46.56888889,30.64166667,59.81472222,16.02638889,36.72277778,#N/D,129.1294444,59.81472222,17,396.2733333,R-PEC,PER,Habilitado,76%,97%,53%,73.3477,94.0242,696,518.3330556,744,225.6669444
BK01_LINEA 06,33.3175,46.57444444,56.11722222,203.8622222,24.45888889,77.33166667,0.504166667,1.265833333,203.8622222,6,299.1,R-PEC,PER,Habilitado,65%,90%,40%,72.1271,94.5126,667.315,461.0361111,744,282.9638889
BK01_LINEA 04,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,R-PEC,#N/D,Deshabilitado,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
BK01_LINEA 08,3.327777778,#N/D,13.17138889,80,1.460277778,570.2588889,0.016666667,#N/D,80,3,75.64416667,R-PEC,PER,Habilitado,81%,96%,10%,0,0,0,93.72444444,744,650.2755556
BK01_LINEA 10,3.761111111,#N/D,10.19333333,56,2.25,52.17,#N/D,520.53,56,11,91.58555556,R-PEC,PER,Habilitado,79%,96%,12%,76.4409,94.5167,360.795,115.3,744,628.7
BK01_LINEA 05,0,#N/D,0.25,72,0,659.9166667,#N/D,#N/D,72,1,11.83333333,R-PEC,PER,Deshabilitado,98%,100%,2%,89.4032,100,152.877,12.08333333,744,731.9166667
BK01_LINEA 09,3.803055556,8,15.865,77.77722222,2.713055556,462.1558333,#N/D,#N/D,77.77722222,4,169.8536111,R-PEC,PER,Habilitado,83%,98%,23%,74.2795,97.7114,351.551,204.0669444,744,539.9330556
BK01_LINEA 07,1.283055556,8.571666667,4.602777778,57.89222222,0.706111111,562.7008333,#N/D,#N/D,57.89222222,5,101.4958333,R-PEC,PER,Habilitado,82%,99%,14%,74.283,97.3625,353.306,123.4069444,744,620.5930556
BK02_LINEA 1,48.03,55.7625,63.04944444,135.0275,39.45583333,#N/D,#N/D,60.46111111,135.0275,2,341.0008333,R-PEC,PER,Habilitado,62%,88%,46%,67.8592,92.4368,478.933,548.5113889,744,195.4886111
BK02_LINEA 3,43.78166667,44.02277778,31.42916667,174.0830556,32.10111111,#N/D,#N/D,3.51,174.0830556,2,409.0291667,R-PEC,PER,Habilitado,72%,90%,55%,69.687,93.2893,739.019,566.4069444,744,177.5930556
BK02_LINEA 2,6.826944444,#N/D,3.683333333,48,0,508.7894444,#N/D,4.166666667,48,4,154.8813889,R-PEC,PER,Deshabilitado,85%,96%,21%,83.5563,95.6256,454.523,183.0438889,744,560.9561111
BK04_LINEA 1,18.65111111,19.4275,25.95083333,196.8363889,2.368888889,216,#N/D,#N/D,196.8363889,11,246.9769444,R-PEC,PER,Habilitado,75%,93%,33%,76.9845,95.9955,93.4152,331.1636111,744,412.8363889
BK04_LINEA 2,24.3475,26.33583333,42.95222222,24.1625,2.874166667,210.7713889,#N/D,51.51472222,24.1625,8,343.4013889,R-PEC,PER,Habilitado,75%,93%,46%,75.2451,95.6386,408,457.5513889,744,286.4486111
BK05_LINEA 1,20.39777778,52.66055556,8.5325,50.41666667,15.10444444,221.8861111,#N/D,59.63555556,50.41666667,6,288.4958333,R-PEC,PER,Habilitado,70%,93%,39%,74.3536,95.6023,463.417,412.0616667,744,331.9383333
BK06_LINEA 3,1.961944444,6.020277778,2.5,2.629166667,5.917222222,417.9955556,#N/D,#N/D,2.629166667,2,304.6883333,R-PEC,PER,Habilitado,94%,99%,41%,84.7056,98.3054,166.254,323.3752778,744,420.6247222
BK06_LINEA 4,5.4625,11.43638889,4.368333333,1.653888889,50.57666667,392.7494444,#N/D,13.39861111,1.653888889,7,247.9413889,R-PEC,PER,Habilitado,74%,98%,33%,55.6295,97.3233,130.718,336.1980556,744,407.8019444
BK06_LINEA 5,0,#N/D,#N/D,#N/D,0,744,#N/D,#N/D,#N/D,#N/D,0,R-PEC,PER,Deshabilitado,#¡DIV/0!,#¡DIV/0!,0%,95.9581,99.24,272.15,0,744,744
SJ01_LINEA 3,32.2025,29.72555556,47.55833333,105.9347222,8.296388889,117.5361111,#N/D,0.75,105.9347222,6,393.4194444,R-PEC,PER,Habilitado,76%,92%,53%,75.547,95.4198,496.38,519.7791667,744,224.2208333
BBC_BOTELLA,0.813333333,#N/D,11.48055556,#N/D,1.611944444,665.6283333,#N/D,#N/D,#N/D,6,41.90388889,R-CRAFTS,COL-Crafts,Deshabilitado,53%,98%,6%,55,98,140,78.37166667,744,665.6283333
BBC_BARRIL,2.5,2.217222222,8.791111111,16,17.68972222,396.9308333,1.329722222,#N/D,16,7,264.0863889,R-CRAFTS,COL-Crafts,Deshabilitado,80%,99%,35%,82,98,340,329.7394444,744,414.2605556
BBC_LATA,0.467222222,#N/D,5.401388889,#N/D,0,703.0961111,#N/D,#N/D,#N/D,1,28.48416667,R-CRAFTS,COL-Crafts,Deshabilitado,70%,98%,4%,75,98,100,40.90388889,744,703.0961111
PC23_Línea Bote,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,R-CRAFTS,#N/D,Deshabilitado,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
PC23_Línea Lata,0,#N/D,#N/D,#N/D,0,744,#N/D,#N/D,#N/D,#N/D,0,R-CRAFTS,MEX-Crafts,Deshabilitado,#¡DIV/0!,#¡DIV/0!,0%,#N/D,#N/D,#N/D,0,744,744
PC23_Línea Barr,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,R-CRAFTS,#N/D,Deshabilitado,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
BAR_Línea Bote,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,R-CRAFTS,#N/D,Deshabilitado,#N/D,#N/D,#N/D,57.42,90.82,155,#N/D,#N/D,#N/D
BAR_Línea Lata,24.8,#N/D,31.07472222,29,4.995833333,508.125,1,#N/D,29,4,120.2947222,R-CRAFTS,PE-Crafts,Deshabilitado,58%,83%,16%,68.13,87.2,160,205.875,744,538.125
BAR_Línea Barr,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,R-CRAFTS,#N/D,Deshabilitado,#N/D,#N/D,#N/D,68.57,100,140,#N/D,#N/D,#N/D
HCP_Línea Bote,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,R-SOP,#N/D,Deshabilitado,#N/D,#N/D,#N/D,73.47,93.108,448,#N/D,#N/D,#N/D
